ID WHO city,Region,iso3,Country,City,Location,lon,lat,pm10,Year,Number and type of monitoring stations,note on converted PM10,pm25,note on converted PM2.5,Temporal coverage,for air quality
1671,Eur HI,ITA,Italy,VOGHERA,"VOGHERA, Italy",9.0120442,44.9916599,27,2013,0,measured data,18,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
1635,Eur HI,ITA,Italy,SCHIVENOGLIA,"SCHIVENOGLIA, Italy",11.0704533,44.9962848,32,2013,"1 station, background, rural",measured data,27,measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
1495,Eur HI,ITA,Italy,CHIERI,"CHIERI, Italy",7.8275551,45.008885,42,2013,"1 station, background, suburban",converted from PM2.5,28,measured data,PM10: NA; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
258,Amr HI,CAN,Canada,CORNWALL,"CORNWALL, Canada",-74.730345,45.0212762,14,2013,"1 station, NA",converted from PM2.5,8,measured data,PM10: NA; PM2.5:>75%,National Air Pollution Surveillance Network.
239,Amr HI,CAN,Canada,AYLESFORD,"AYLESFORD, Canada",-64.836432,45.028156,9,2013,"1 station, NA",converted from PM2.5,5,measured data,PM10: NA; PM2.5:>75%,National Air Pollution Surveillance Network.
1582,Eur HI,ITA,Italy,OULX,"OULX, Italy",6.8336307,45.0333391,18,2013,0,measured data,12,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
1465,Eur HI,ITA,Italy,BORGOFRANCO SUL PO,"BORGOFRANCO SUL PO, Italy",11.1924448,45.0411979,31,2013,0,measured data,20,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
871,Eur HI,FRA,France,LE PUY-EN-VELAY,"LE PUY-EN-VELAY, France",3.882936,45.042768,18,2014,0,measured data,11,converted from PM10,PM10: >75%; PM2.5:NA,"Ministère de l'environnement, de l'énergie et de la mer"
959,Eur HI,FRA,France,ROMANS-SUR-ISERE,"ROMANS-SUR-ISERE, France",5.052735,45.044236,21,2014,0,measured data,13,converted from PM10,PM10: >75%; PM2.5:NA,"Ministère de l'environnement, de l'énergie et de la mer"
1588,Eur HI,ITA,Italy,PIACENZA,"PIACENZA, Italy",9.6929845,45.0526206,31,2013,"1 station, traffic, urban",measured data,23,measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
1030,Eur HI,FRA,France,VIF,"VIF, France",5.66912,45.056206,17,2014,0,measured data,11,converted from PM10,PM10: >75%; PM2.5:NA,"Ministère de l'environnement, de l'énergie et de la mer"
